term,ccode,section,instructor,organization,expl_lvl,q_treatment,visual,oral,help,interesting,overall,attendance,assign_helpful,printed_notes,textbook,new_material,assign_amount,hours_outside,num_responses,enrolled
1149,['STAT 372'],1,Peter Balka,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,28,68
1161,['CS 349'],2,Jeffrey Avery,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,31,73
1161,['MATH 128'],4,Jennifer Nelson,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,70,115
1181,['CS 106'],1,Kevin Harrigan,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.5,2.0,2.0,3.0,3.0,24,55
1151,['STAT 431'],1,Matthias Schonlau,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,82,120
1181,['AMATH 250'],1,Mohamad Alwan,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,24,74
1171,['MATH 127'],81,Barbara Forrest,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,5,36
1165,['STAT 230'],4,Conrad Hewitt,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3,33
1171,['STAT 211'],2,Dina Dawoud,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,91,175
1185,['CS 341'],2,Eric Blais,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,36,69
1169,['MATH 229'],1,Martin Pei,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,7,19
1161,['STAT 241'],1,Peisong Han,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,19,26
1179,['AMATH 453'],1,David Siegel,1.5,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,16,24
1139,['MATH 127'],9,Taghreed Sugati,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,26,73
1135,"['CS 466', 'CS 666']",1,J Ian Munro,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,37,57
1179,['CS 343'],1,Peter Buhr,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,49,105
1135,"['CO 446', 'CO 646']",1,Peter Nelson,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,7,10
1159,"['CS 456', 'CS 656']",1,Raouf Boutaba,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,29,59
1155,['CO 250'],1,Levent Tuncel,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,54,120
1181,['MATH 239'],2,Martin Pei,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,65,119
1179,['ACTSC 991'],1,David Landriault,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,9,10
1149,['CS 135'],3,Dave Tompkins,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,95,117
1179,['CS 350'],1,Gregor Richards,1.5,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,32,71
1169,['AMATH 351'],1,Edward Vrscay,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,33,54
1179,"['CS 445', 'CS 645', 'ECE 451']",1,Dan Berry,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.5,3.0,3.0,2.0,23,51
1181,['AMATH 361'],1,Michael Waite,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,25,35
1149,['CO 255'],1,James Geelen,1.0,3.0,1.0,1.0,1.0,1.5,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.5,2.0,5,7
1181,['ACTSC 331'],1,Jun Cai,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,32,61
1175,['CS 341'],1,Lap Chi Lau,1.0,2.0,1.5,1.0,2.0,1.0,2.0,1.0,1.0,1.5,1.0,2.0,3.0,3.0,3.0,26,63
1181,['STAT 211'],3,Joslin Goh,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,51,117
1171,['CS 241'],1,Kevin Lanctot,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,20,72
1149,['CS 350'],2,Bernard Wong,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,58,83
1179,['MATH 135'],26,Ty Ghaswala,1.0,3.0,1.0,1.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,35,49
1171,['AMATH 373'],1,Joseph Emerson,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,33,56
1159,['MATH 135'],22,Robert Garbary,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,33,44
1151,"['CS 448', 'CS 648']",1,Ihab F. Ilyas Kaldas,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,25,41
1169,['CS 341'],2,Jeffrey Shallit,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,33,74
1131,"['CS 486', 'CS 686']",1,Jesse Hoey,2.0,3.0,1.5,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,29,54
1169,['CS 348'],1,Alexandra Roatis,2.0,3.0,1.5,2.0,2.0,1.5,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,17,64
1169,['CS 697'],1,Robin Cohen,1.0,3.0,1.0,1.5,1.0,2.0,2.0,1.0,1.5,2.0,2.0,2.0,3.0,3.0,1.0,28,31
1149,"['CS 458', 'CS 658']",3,Tariq Elahi,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,17,41
1155,['CS 240'],4,Shahin Kamali,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.5,2.0,3.0,3.0,2.0,30,81
1185,['MATH 239'],1,Christopher Godsil,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.5,2.0,2.0,3.0,3.0,2.0,40,118
1181,['CS 116'],3,Victoria Sakhnini,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,62,89
1151,['ACTSC 971'],1,Ruodo Wang,2.0,3.0,1.5,2.0,2.0,1.5,2.0,2.0,1.0,2.0,2.0,1.5,3.0,3.0,2.0,18,29
1169,['STAT 331'],2,Martin Lysy,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,57,94
1169,['CS 135'],10,Victoria Sakhnini,1.0,3.0,1.0,1.0,1.5,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,68,85
1171,['CS 106'],2,Craig Kaplan,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,11,21
