term,ccode,section,enrolled
1161,ACTSC 4XX,001,1
1161,ACTSC 221,081,48
1161,ACTSC 231,001,94
1161,ACTSC 231,002,91
1161,ACTSC 232,001,119
1161,ACTSC 331,001,63
1161,ACTSC 331,002,1
1161,ACTSC 371,001,208
1161,ACTSC 372,001,186
1161,ACTSC 372,002,1
1161,ACTSC 433,001,41
1161,ACTSC 433,002,2
1161,ACTSC 446,001,96
1161,ACTSC 446,002,34
1161,ACTSC 455,001,28
1161,ACTSC 462,001,73
1161,ACTSC 621,001,19
1161,ACTSC 622,001,19
1161,ACTSC 623,001,19
1161,ACTSC 624,001,19
1161,ACTSC 625,001,19
1161,ACTSC 833,001,14
1161,ACTSC 846,001,5
1161,ACTSC 855,001,4
1161,ACTSC 964,001,16
1161,ACTSC 966,001,6
1161,ACTSC 971,001,25
1161,ACTSC 991,001,15
1161,AMATH 231,001,51
1161,AMATH 242,001,40
1161,AMATH 242,002,1
1161,AMATH 250,001,95
1161,AMATH 250,002,99
1161,AMATH 331,001,31
1161,AMATH 332,001,45
1161,AMATH 342,001,26
1161,AMATH 350,001,116
1161,AMATH 353,001,54
1161,AMATH 353,002,1
1161,AMATH 361,001,33
1161,AMATH 373,001,34
1161,AMATH 382,001,33
1161,AMATH 451,001,20
1161,AMATH 455,001,23
1161,AMATH 475,001,15
1161,AMATH 495,001,1
1161,AMATH 495,002,1
1161,AMATH 655,001,2
1161,AMATH 675,001,1
1161,AMATH 741,001,21
1161,AMATH 777,001,10
1161,AMATH 872,001,7
1161,AMATH 881,001,5
1161,AMATH 900,001,5
1161,AMATH 900,002,3
1161,AMATH 900,003,0
1161,AMATH 900,004,2
1161,AMATH 900,005,2
1161,AMATH 900,006,1
1161,AMATH 900,007,1
1161,CS 2XX,001,2
1161,CS 3XX,001,1
1161,CS 100,081,344
1161,CS 115,001,79
1161,CS 115,002,88
1161,CS 115,003,90
1161,CS 115,004,84
1161,CS 116,001,88
1161,CS 116,002,90
1161,CS 116,003,70
1161,CS 116,004,83
1161,CS 116,005,89
1161,CS 116,006,89
1161,CS 116,007,70
1161,CS 116,008,58
1161,CS 116,009,29
1161,CS 116,010,63
1161,CS 116,011,87
1161,CS 135,001,65
1161,CS 135,002,66
1161,CS 135,003,66
1161,CS 136,001,89
1161,CS 136,002,90
1161,CS 136,003,90
1161,CS 136,004,68
1161,CS 136,005,71
1161,CS 136,006,90
1161,CS 136,007,67
1161,CS 136,008,59
1161,CS 136,009,44
1161,CS 136,010,36
1161,CS 136,011,56
1161,CS 138,001,123
1161,CS 146,001,71
1161,CS 230,001,148
1161,CS 240,001,85
1161,CS 240,002,65
1161,CS 240,003,88
1161,CS 240,004,35
1161,CS 241,001,94
1161,CS 241,002,93
1161,CS 241,003,91
1161,CS 245,001,93
1161,CS 245,002,95
1161,CS 246,001,126
1161,CS 246,002,93
1161,CS 251,001,91
1161,CS 251,002,90
1161,CS 251,003,93
1161,CS 330,001,149
1161,CS 330,002,37
1161,CS 338,001,116
1161,CS 338,002,2
1161,CS 341,001,68
1161,CS 341,002,85
1161,CS 341,003,87
1161,CS 341,004,77
1161,CS 341,005,4
1161,CS 343,001,60
1161,CS 348,001,98
1161,CS 348,002,4
1161,CS 349,001,64
1161,CS 349,002,73
1161,CS 349,003,46
1161,CS 349,004,55
1161,CS 349,005,2
1161,CS 350,001,96
1161,CS 350,002,84
1161,CS 350,003,1
1161,CS 360,001,57
1161,CS 365,001,25
1161,CS 370,001,73
1161,CS 370,002,86
1161,CS 370,003,1
1161,CS 371,001,43
1161,CS 430,001,80
1161,CS 430,002,1
1161,CS 436,001,53
1161,CS 436,002,1
1161,CS 442,001,48
1161,CS 444,001,42
1161,CS 445,001,53
1161,CS 446,001,69
1161,CS 447,001,67
1161,CS 447,002,1
1161,CS 448,001,35
1161,CS 450,001,45
1161,CS 452,001,11
1161,CS 454,001,53
1161,CS 454,002,59
1161,CS 456,001,59
1161,CS 456,002,50
1161,CS 456,003,1
1161,CS 458,001,55
1161,CS 458,002,44
1161,CS 462,001,20
1161,CS 467,001,20
1161,CS 469W,001,1
